green,red,purple,brown,blue,brown,orange,yellow,brown,yellow
blue,purple,red,yellow,purple,blue,brown,pink,blue,pink
orange,green,brown,purple,orange,orange,cyan,brown,red,yellow
blue,brown,cyan,red,purple,green,red,purple,blue,yellow
blue,brown,brown,red,lime,yellow,pink,purple,red,pink
brown,green,orange,lime,lime,blue,purple,orange,brown,red
purple,orange,cyan,blue,pink,purple,pink,cyan,green,orange
red,lime,yellow,cyan,brown,cyan,purple,cyan,lime,cyan
pink,purple,blue,blue,orange,blue,blue,cyan,green,lime
cyan,green,blue,pink,cyan,lime,red,yellow,yellow,green
